02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\LICENSE.md
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\README.md
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\glyphs\Courier Prime Sans Italic.glyphs
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\glyphs\Courier Prime Sans.glyphs
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ttf\Courier Prime Sans Bold Italic.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ttf\Courier Prime Sans Bold.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ttf\Courier Prime Sans Italic.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ttf\Courier Prime Sans.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\features.fea
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\fontinfo.plist
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\lib.plist
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\metainfo.plist
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\glyphs\a.glif
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\glyphs\aacute.glif
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\glyphs\abreve.glif
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\glyphs\acircumflex.glif
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\glyphs\acute.case.glif
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\ufo\Courier Prime Sans Bold Italic.ufo\glyphs\acute.glif
